Ref,Val,Package,PosX,PosY,Rot,Side
"SW1","SW_Push","SW_SPST_B3SL-1022P",132.500000,-124.250000,0.000000,top
"SW2","SW_Push","SW_SPST_B3SL-1022P",155.250000,-122.000000,180.000000,top
